No;Enlem;Boylam;VS30
5;411364722;291244444;455.3528440 
7;411258333;291013333;213.0966640 
8;411246111;291215833;357.3758850 
11;411137778;290870000;314.0264890 
12;411151389;291056389;586.4188230 
13;411128333;291197778;495.6353150 
14;411189444;291266944;575.7448730 
16;411024722;290711667;375.3201900 
17;411016667;290887222;534.4656980 
18;410973611;291090833;344.8580320 
19;411003611;291237500;614.8255000 
20;411024444;291361111;591.1532590 
23;410896944;290705000;574.6649170 
24;410894139;290866750;938.2680050 
25;410928333;290988056;483.6766660 
26;410882778;291187500;887.2042850 
27;410899722;291348333;642.1054080 
28;410886667;291495833;441.1477970 
29;410880833;291669722;615.9912720 
33;410780278;290712778;653.5316770 
34;410778056;290865833;1047.5856900 
37;410753889;291271944;1016.0658000 
38;410755833;291490278;812.8648680 
39;410757500;291653889;647.2413940 
40;410742222;291817778;643.4628300 
46;410682222;290579167;649.5798950 
47;410646389;290700833;742.2782590 
48;410646667;290866111;1394.3182400 
49;410651111;291022500;865.9469600 
50;410654167;291179167;733.1735840 
52;410642778;291500556;715.1461790 
53;410636944;291670000;390.0142210 
54;410652778;291839722;704.4835820 
61;410543611;290536944;1744.7402300 
62;410543889;290702500;1087.5776400 
63;410535000;290838333;394.1737980 
64;410531667;291016111;1311.3693800 
65;410528889;291173333;963.5116580 
66;410525556;291333611;1308.4885300 
67;410501667;291504444;396.4482730 
68;410531667;291643056;566.0546260 
69;410521944;291820278;944.4461670 
70;410528056;291935833;981.5120850 
71;410474167;292168333;635.2389530 
76;410415833;290407500;1724.1192600 
77;410413333;290531111;787.5791020 
78;410411667;290694722;348.4570010 
79;410427222;290853611;644.8872680 
80;410423611;291010278;599.4213870 
81;410392500;291178056;678.8754270 
82;410412778;291327222;354.4576110 
83;410385278;291512222;1262.2535400 
84;410419722;291675833;1328.2360800 
85;410402222;291811944;808.4443360 
87;410389722;292123611;524.3560180 
88;410386667;292280556;331.2987370 
93;410292500;290213333;905.7675780 
94;410300556;290360278;386.8892820 
95;410293889;290537778;928.9712520 
96;410302222;290687500;417.6430970 
97;410301389;290841111;868.8286130 
98;410292500;291020000;790.5311280 
99;410294722;291166111;516.1014400 
100;410280556;291326667;469.9283140 
101;410284722;291483889;390.2701110 
102;410287222;291641944;338.2939760 
103;410277500;291806667;792.0208130 
104;410280833;291945556;686.6972660 
105;410268056;292162500;603.4653320 
106;410274444;292256389;716.4765630 
107;410257500;292453889;822.2290040 
112;410184722;290237222;1074.8618200 
113;410184722;290356944;1021.4777200 
114;410156111;290538611;557.1262210 
115;410175000;290682222;584.0087890 
116;410162500;290838333;722.3394780 
117;410186944;290953056;821.0897220 
118;410178889;291169167;402.4907840 
119;410165000;291326667;760.6649170 
120;410167500;291492778;581.4273680 
121;410144722;291626389;554.5133670 
122;410148333;291798056;1007.6339700 
123;410161389;291958889;1086.8569300 
124;410148611;292118333;835.8453370 
125;410146667;292276944;967.0960690 
126;410146667;292425833;1211.4151600 
127;410145000;292594167;501.64
132;410075000;290228889;548.4415890 
133;410060556;290379444;672.6750490 
134;410055556;290518056;482.0060730 
135;410054444;290683889;1255.9633800 
136;410063333;290835000;1473.0030500 
137;410045000;291005833;1473.3491200 
138;410047222;291160000;1366.6667500 
139;410037778;291334444;1365.9681400 
140;410039722;291480833;940.5322880 
141;410029444;291598333;758.4328610 
142;409998889;291796111;1136.0238000 
143;410033889;291952222;480.3001100 
144;410028056;292116111;607.9752810 
145;410028333;292273611;455.5072330 
146;410020833;292430278;992.9171750 
147;410019722;292588056;749.0173340 
148;410017500;292748056;797.5974120 
153;409977778;290249167;255.5687410 
154;409938333;290345278;624.5639650 
155;409952778;290521667;555.8134160 
156;409936111;290672222;388.6292420 
157;409928056;290826944;588.9599000 
158;409942222;290990278;692.6107790 
159;409926111;291145556;473.6207580 
160;409938611;291312778;784.8700560 
161;409931389;291471389;714.82
162;409920000;291629444;863.3457030 
163;409915278;291792222;699.5146480 
164;409911667;291952778;488.9464110 
165;409849444;292114444;814.6802980 
166;409906111;292266389;920.1203610 
167;409903056;292425556;409.0505370 
168;409900556;292583611;800.4321290 
169;409901944;292738333;564.9592290 
170;409904444;292866944;850.6887210 
175;409839444;290335556;851.0140380 
176;409823333;290511944;796.5504760 
177;409802222;290685556;832.8438720 
178;409821667;290811667;969.1099240 
179;409805556;291001667;883.1548460 
180;409804444;291164722;671.1762700 
181;409801944;291304444;500.5849610 
182;409796944;291452500;645.2904050 
183;409788611;291630556;588.0594480 
184;409805278;291789167;453.6504820 
