;Latitude;Longitude;VS30
0;41.1364722;41.1364722;455.352844
1;41.1258333;41.1258333;213.096664
2;41.1246111;41.1246111;357.375885
3;41.1137778;41.1137778;314.026489
4;41.1151389;41.1151389;586.418823
5;41.1128333;41.1128333;495.635315
6;41.1189444;41.1189444;575.744873
7;41.1024722;41.1024722;375.32019
8;41.1016667;41.1016667;534.465698
9;41.0973611;41.0973611;344.858032
10;41.1003611;41.1003611;614.8255
11;41.1024444;41.1024444;591.153259
12;41.0896944;41.0896944;574.664917
13;41.0894139;41.0894139;938.268005
14;41.0928333;41.0928333;483.676666
15;41.0882778;41.0882778;887.204285
16;41.0899722;41.0899722;642.105408
17;41.0886667;41.0886667;441.147797
18;41.0880833;41.0880833;615.991272
19;41.0780278;41.0780278;653.531677
20;41.0778056;41.0778056;1047.58569
21;41.0753889;41.0753889;1016.0658
22;41.0755833;41.0755833;812.864868
23;41.07575;41.07575;647.241394
24;41.0742222;41.0742222;643.46283
25;41.0682222;41.0682222;649.579895
26;41.0646389;41.0646389;742.278259
27;41.0646667;41.0646667;1394.31824
28;41.0651111;41.0651111;865.94696
29;41.0654167;41.0654167;733.173584
30;41.0642778;41.0642778;715.146179
31;41.0636944;41.0636944;390.014221
32;41.0652778;41.0652778;704.483582
33;41.0543611;41.0543611;1744.74023
34;41.0543889;41.0543889;1087.57764
35;41.0535;41.0535;394.173798
36;41.0531667;41.0531667;1311.36938
37;41.0528889;41.0528889;963.511658
38;41.0525556;41.0525556;1308.48853
39;41.0501667;41.0501667;396.448273
40;41.0531667;41.0531667;566.054626
41;41.0521944;41.0521944;944.446167
42;41.0528056;41.0528056;981.512085
43;41.0474167;41.0474167;635.238953
44;41.0415833;41.0415833;1724.11926
45;41.0413333;41.0413333;787.579102
46;41.0411667;41.0411667;348.457001
47;41.0427222;41.0427222;644.887268
48;41.0423611;41.0423611;599.421387
49;41.03925;41.03925;678.875427
50;41.0412778;41.0412778;354.457611
51;41.0385278;41.0385278;1262.25354
52;41.0419722;41.0419722;1328.23608
53;41.0402222;41.0402222;808.444336
54;41.0389722;41.0389722;524.356018
55;41.0386667;41.0386667;331.298737
56;41.02925;41.02925;905.767578
57;41.0300556;41.0300556;386.889282
58;41.0293889;41.0293889;928.971252
59;41.0302222;41.0302222;417.643097
60;41.0301389;41.0301389;868.828613
61;41.02925;41.02925;790.531128
62;41.0294722;41.0294722;516.10144
