Boylam;Enlem;PGA_2%;PGA_10%;PGA_50%;PGA_68%;SS_2%;SS_10%;SS_50%;SS_68%;S1_2%;S1_10%;S1_50%;S1_68%;PGV_2%;PGV_10%;PGV_50%;PGV_68%
24.55;39.95;1.32;0.716;0.218;0.138;3.273;1.714;0.501;0.317;0.878;0.437;0.121;0.076;83.452;44.717;12.321;7.596
24.55;40.05;0.906;0.516;0.19;0.127;2.291;1.246;0.439;0.297;0.617;0.324;0.111;0.074;57.991;31.6;11.01;7.324
24.55;40.15;0.835;0.448;0.168;0.117;2.1;1.091;0.398;0.275;0.574;0.293;0.105;0.072;53.509;28.146;10.118;6.897
24.55;40.25;0.736;0.397;0.155;0.11;1.851;0.961;0.363;0.255;0.502;0.261;0.098;0.068;46.518;24.54;9.299;6.505
24.55;40.35;0.741;0.386;0.147;0.103;1.845;0.931;0.342;0.236;0.476;0.244;0.092;0.064;44.843;23.049;8.724;6.099
24.65;39.75;0.654;0.386;0.16;0.114;1.637;0.924;0.373;0.265;0.471;0.257;0.099;0.069;42.787;23.999;9.559;6.707
24.65;39.85;0.882;0.508;0.189;0.128;2.226;1.223;0.437;0.298;0.621;0.324;0.109;0.074;57.479;31.68;10.885;7.282
24.65;39.95;1.139;0.614;0.212;0.137;2.825;1.472;0.487;0.314;0.767;0.383;0.119;0.076;85.698;45.1;11.967;7.567
24.65;40.05;1.149;0.621;0.205;0.135;2.854;1.489;0.47;0.311;0.765;0.383;0.116;0.076;72.733;38.564;11.643;7.558
24.65;40.15;0.87;0.486;0.185;0.127;2.2;1.179;0.431;0.297;0.597;0.311;0.11;0.075;55.756;30.074;10.81;7.377
24.65;40.25;0.788;0.425;0.166;0.116;1.983;1.037;0.393;0.274;0.544;0.28;0.103;0.071;50.273;26.491;9.882;6.814
24.65;40.35;0.783;0.412;0.155;0.107;1.952;0.997;0.363;0.246;0.506;0.259;0.096;0.066;47.362;24.56;9.147;6.278
24.65;40.45;0.755;0.383;0.136;0.09;1.883;0.926;0.318;0.211;0.489;0.243;0.089;0.061;46.213;23.053;8.287;5.651
24.65;40.55;0.697;0.346;0.117;0.077;1.737;0.838;0.278;0.178;0.454;0.224;0.082;0.057;42.966;21.128;7.577;5.152
24.75;39.65;0.527;0.295;0.126;0.093;1.299;0.705;0.295;0.216;0.383;0.211;0.087;0.063;34.584;19.02;8.024;5.859
24.75;39.75;0.582;0.334;0.145;0.105;1.442;0.805;0.331;0.24;0.422;0.231;0.093;0.067;38.19;21.273;8.762;6.316
24.75;39.85;0.696;0.405;0.165;0.117;1.727;0.966;0.387;0.275;0.497;0.268;0.102;0.071;45.119;25.109;9.861;6.899
24.75;39.95;0.915;0.517;0.191;0.13;2.293;1.239;0.44;0.302;0.644;0.33;0.111;0.075;59.759;32.391;10.978;7.424
24.75;40.05;1.207;0.64;0.207;0.138;2.977;1.528;0.473;0.317;0.851;0.407;0.117;0.077;80.035;41.047;11.704;7.664
24.75;40.15;0.953;0.529;0.198;0.135;2.391;1.271;0.455;0.313;0.653;0.336;0.114;0.077;61.307;32.786;11.293;7.602
24.75;40.25;0.837;0.458;0.18;0.125;2.115;1.12;0.423;0.295;0.586;0.3;0.108;0.074;54.375;28.7;10.561;7.248
24.75;40.35;0.817;0.435;0.164;0.111;2.052;1.061;0.388;0.259;0.538;0.275;0.101;0.068;50.068;26.212;9.652;6.511
24.75;40.45;0.786;0.403;0.143;0.093;1.961;0.973;0.332;0.216;0.511;0.254;0.092;0.062;48.129;24.192;8.592;5.77
